Entity,Code,Year,"Share (top 10%, before tax)"
Guernsey,GGY,2018,35.25
Guernsey,GGY,2019,35.02
Guernsey,GGY,2020,34.86
Guernsey,GGY,2021,35.53
Guernsey,GGY,2022,35.67
Guernsey,GGY,2023,35.67
Guinea,GIN,1991,46.4
Guinea,GIN,2002,51.48
Guinea,GIN,2003,50.36
Guinea,GIN,2007,46.03
Guinea,GIN,2012,42.05
Guinea,GIN,2022,37.22
Guinea,GIN,2023,37.22
Guinea-Bissau,GNB,1991,52.03
Guinea-Bissau,GNB,1993,51.95
Guinea-Bissau,GNB,2002,44.17
Guinea-Bissau,GNB,2010,43.84
Guinea-Bissau,GNB,2022,41.38
Guinea-Bissau,GNB,2023,41.38
Guyana,GUY,2022,51.81
Guyana,GUY,2023,51.81
Haiti,HTI,2022,51.81
Haiti,HTI,2023,51.81
Honduras,HND,2022,51.81
Honduras,HND,2023,51.81
Hong Kong,HKG,1981,41.55
Hong Kong,HKG,1986,44.57
Hong Kong,HKG,1991,45.72
Hong Kong,HKG,1996,42.68
Hong Kong,HKG,2001,45.07
Hong Kong,HKG,2006,49.73
Hong Kong,HKG,2011,50.5
Hong Kong,HKG,2016,48.21
Hong Kong,HKG,2022,48.22
Hong Kong,HKG,2023,48.22
Hungary,HUN,1980,18.06
Hungary,HUN,1981,16.82
Hungary,HUN,1982,16.73
Hungary,HUN,1983,16.04
Hungary,HUN,1984,15.49
Hungary,HUN,1985,16.52
Hungary,HUN,1986,15.8
Hungary,HUN,1987,16.78
Hungary,HUN,1988,17.78
Hungary,HUN,1989,22.41
Hungary,HUN,1990,22.78
Hungary,HUN,1991,24.26
Hungary,HUN,1992,26.06
Hungary,HUN,1993,26.36
Hungary,HUN,1994,27.51
Hungary,HUN,1995,26.11
Hungary,HUN,1996,26.95
Hungary,HUN,1997,27.39
Hungary,HUN,1998,28.41
Hungary,HUN,1999,29.5
Hungary,HUN,2000,28.99
Hungary,HUN,2001,32.61
Hungary,HUN,2002,32.59
Hungary,HUN,2003,32.37
Hungary,HUN,2004,34.61
Hungary,HUN,2005,34.64
Hungary,HUN,2006,35.94
Hungary,HUN,2007,36.17
Hungary,HUN,2008,34.17
Hungary,HUN,2009,33.89
Hungary,HUN,2010,34.08
Hungary,HUN,2011,33.45
Hungary,HUN,2012,32.56
Hungary,HUN,2013,34.5
Hungary,HUN,2014,33.31
Hungary,HUN,2015,33.25
Hungary,HUN,2016,34.06
Hungary,HUN,2017,33.33
Hungary,HUN,2018,33.08
Hungary,HUN,2022,32.99
Hungary,HUN,2023,33.5
Iceland,ISL,1980,29.41
Iceland,ISL,1981,29.41
Iceland,ISL,1982,29.41
Iceland,ISL,1983,29.41
Iceland,ISL,1984,29.41
Iceland,ISL,1985,29.41
Iceland,ISL,1986,29.41
Iceland,ISL,1987,29.41
Iceland,ISL,1988,29.41
Iceland,ISL,1989,29.41
Iceland,ISL,1990,29.41
Iceland,ISL,1991,29.47
Iceland,ISL,1992,30.37
Iceland,ISL,1993,29.57
Iceland,ISL,1994,29.73
Iceland,ISL,1995,29.79
Iceland,ISL,1996,29.54
Iceland,ISL,1997,29.72
Iceland,ISL,1998,30.02
Iceland,ISL,1999,30.11
Iceland,ISL,2000,30.1
Iceland,ISL,2001,31.58
Iceland,ISL,2002,32.56
Iceland,ISL,2003,32.92
Iceland,ISL,2004,30.53
Iceland,ISL,2005,31.59
Iceland,ISL,2006,33.4
Iceland,ISL,2007,36.96
Iceland,ISL,2008,29.84
Iceland,ISL,2009,29.51
Iceland,ISL,2010,26.96
Iceland,ISL,2011,26.81
Iceland,ISL,2012,27.62
Iceland,ISL,2013,29.66
Iceland,ISL,2014,29.44
Iceland,ISL,2015,28.89
Iceland,ISL,2016,29.21
Iceland,ISL,2022,31.04
Iceland,ISL,2023,28.24
India,IND,1820,48
India,IND,1850,50
India,IND,1880,54.6
India,IND,1900,53.76
India,IND,1910,44.8
India,IND,1920,53.29
India,IND,1930,47.77
India,IND,1940,50.67
India,IND,1950,35.17
India,IND,1951,36.8
India,IND,1952,36.16
India,IND,1953,36.28
India,IND,1954,38.02
India,IND,1955,40.45
India,IND,1956,39.38
India,IND,1957,38.77
India,IND,1958,39.01
India,IND,1959,37.74
India,IND,1960,37.3
India,IND,1961,37.39
India,IND,1962,37.03
India,IND,1963,34.56
India,IND,1964,35.56
India,IND,1965,35.98
India,IND,1966,36.33
India,IND,1967,35.97
India,IND,1968,35.22
India,IND,1969,36.45
India,IND,1970,37.08
India,IND,1971,34.73
India,IND,1972,34.22
India,IND,1973,33.99
India,IND,1974,34.18
India,IND,1975,34.29
India,IND,1976,34.42
India,IND,1977,34.21
India,IND,1978,33.7
India,IND,1979,32.3
India,IND,1980,31.59
India,IND,1981,30.73
India,IND,1982,30.11
India,IND,1983,35.42
India,IND,1984,33.46
India,IND,1985,34.82
India,IND,1986,35.08
India,IND,1987,34.49
India,IND,1988,35.44
India,IND,1989,35.46
India,IND,1990,33.71
India,IND,1991,34.15
India,IND,1992,35.24
India,IND,1993,36.96
India,IND,1994,38.75
India,IND,1995,40.57
India,IND,1996,39.17
India,IND,1997,39.02
India,IND,2005,45.72
India,IND,2012,55.25
India,IND,2013,55.89
India,IND,2022,59.7
India,IND,2023,58.46
Indonesia,IDN,1985,41.91
Indonesia,IDN,1986,46.05
Indonesia,IDN,1987,45.06
Indonesia,IDN,1988,44.28
Indonesia,IDN,1989,44.71
Indonesia,IDN,1990,44.18
Indonesia,IDN,1991,44.96
Indonesia,IDN,1992,48.57
Indonesia,IDN,1993,48.19
Indonesia,IDN,1994,47.1
Indonesia,IDN,1995,48.33
Indonesia,IDN,1996,48.52
Indonesia,IDN,1997,46.79
Indonesia,IDN,1998,39.56
Indonesia,IDN,1999,39.24
Indonesia,IDN,2000,38.47
Indonesia,IDN,2001,39.36
Indonesia,IDN,2002,39.18
Indonesia,IDN,2003,39.27
Indonesia,IDN,2004,41.62
Indonesia,IDN,2005,42.17
Indonesia,IDN,2006,42.06
Indonesia,IDN,2007,42.02
Indonesia,IDN,2008,46.53
Indonesia,IDN,2009,48.16
Indonesia,IDN,2010,42.59
Indonesia,IDN,2011,44.37
Indonesia,IDN,2012,44.53
Indonesia,IDN,2013,43.17
Indonesia,IDN,2014,43.03
Indonesia,IDN,2015,48.1
Indonesia,IDN,2016,42.68
Indonesia,IDN,2017,41.87
Indonesia,IDN,2022,47.06
Indonesia,IDN,2023,46.44
Iran,IRN,1986,57.3
Iran,IRN,1990,53.86
Iran,IRN,1994,53.24
Iran,IRN,1998,53.44
Iran,IRN,2005,55.02
Iran,IRN,2006,52.62
Iran,IRN,2009,50.02
Iran,IRN,2010,51.67
Iran,IRN,2014,48.8
Iran,IRN,2015,50.15
Iran,IRN,2016,56.74
Iran,IRN,2017,52.62
Iran,IRN,2022,53.36
Iran,IRN,2023,51.78
Iraq,IRQ,2007,55.28
Iraq,IRQ,2012,56.89
Iraq,IRQ,2022,45.32
Iraq,IRQ,2023,45.11
Ireland,IRL,1980,30.6
Ireland,IRL,1981,30.19
Ireland,IRL,1982,31.17
Ireland,IRL,1983,31.56
Ireland,IRL,1984,30.53
Ireland,IRL,1985,30.33
Ireland,IRL,1986,30.17
Ireland,IRL,1987,30.28
Ireland,IRL,1988,29.96
Ireland,IRL,1989,29.96
Ireland,IRL,1990,30.3
Ireland,IRL,1991,31.23
Ireland,IRL,1992,32.17
Ireland,IRL,1993,31.74
Ireland,IRL,1994,32.59
Ireland,IRL,1995,32.54
Ireland,IRL,1996,31.02
Ireland,IRL,1997,32.88
Ireland,IRL,1998,34.82
Ireland,IRL,1999,34.98
Ireland,IRL,2000,36.39
Ireland,IRL,2001,34.83
Ireland,IRL,2002,34.95
Ireland,IRL,2003,35.69
Ireland,IRL,2004,35.46
Ireland,IRL,2005,36.59
Ireland,IRL,2006,36.93
Ireland,IRL,2007,35.39
Ireland,IRL,2008,31.67
Ireland,IRL,2009,32.01
Ireland,IRL,2010,31.97
Ireland,IRL,2011,32.2
Ireland,IRL,2012,31.26
Ireland,IRL,2013,32.2
Ireland,IRL,2014,33.42
Ireland,IRL,2015,35.09
Ireland,IRL,2016,35.08
Ireland,IRL,2017,34.35
Ireland,IRL,2018,35.24
Ireland,IRL,2022,36.62
Ireland,IRL,2023,36.35
Isle of Man,IMN,1980,32.22
Isle of Man,IMN,1981,32.22
Isle of Man,IMN,1982,32.18
Isle of Man,IMN,1983,32.3
Isle of Man,IMN,1984,32.66
Isle of Man,IMN,1985,32.87
Isle of Man,IMN,1986,32.52
Isle of Man,IMN,1987,32.5
Isle of Man,IMN,1988,32.44
Isle of Man,IMN,1989,32.6
Isle of Man,IMN,1990,32.5
Isle of Man,IMN,1991,32.3
Isle of Man,IMN,1992,33.2
Isle of Man,IMN,1993,33.45
Isle of Man,IMN,1994,34.17
Isle of Man,IMN,1995,33.86
Isle of Man,IMN,1996,34.03
Isle of Man,IMN,1997,34.81
Isle of Man,IMN,1998,34.95
Isle of Man,IMN,1999,34.99
Isle of Man,IMN,2000,35.57
Isle of Man,IMN,2001,35.11
Isle of Man,IMN,2002,34.61
Isle of Man,IMN,2003,34.76
Isle of Man,IMN,2004,35.04
Isle of Man,IMN,2005,35.28
Isle of Man,IMN,2006,35.98
Isle of Man,IMN,2007,36.07
Isle of Man,IMN,2008,34.24
Isle of Man,IMN,2009,33.48
Isle of Man,IMN,2010,35.14
Isle of Man,IMN,2011,35.06
Isle of Man,IMN,2012,34.4
Isle of Man,IMN,2013,34.63
Isle of Man,IMN,2014,35.09
Isle of Man,IMN,2015,34.99
Isle of Man,IMN,2016,35.13
Isle of Man,IMN,2017,35.28
Isle of Man,IMN,2018,35.25
Isle of Man,IMN,2019,35.02
Isle of Man,IMN,2020,34.86
Isle of Man,IMN,2021,35.53
Isle of Man,IMN,2022,35.67
Isle of Man,IMN,2023,35.67
Israel,ISR,1979,48.78
Israel,ISR,1986,48.45
Israel,ISR,1992,49.42
Israel,ISR,1997,50.5
Israel,ISR,2001,51.42
Israel,ISR,2006,52.32
Israel,ISR,2007,52.54
Israel,ISR,2008,52.44
Israel,ISR,2009,52.16
Israel,ISR,2010,52.52
Israel,ISR,2011,52.48
Israel,ISR,2012,52.84
Israel,ISR,2013,51.08
Israel,ISR,2014,49.45
Israel,ISR,2015,49.23
Israel,ISR,2016,49.43
Israel,ISR,2022,49.35
Israel,ISR,2023,48.57
Italy,ITA,1981,27.32
Italy,ITA,1982,27.11
Italy,ITA,1983,27.01
Italy,ITA,1984,27.54
Italy,ITA,1985,28.1
Italy,ITA,1986,29.23
Italy,ITA,1987,29.88
Italy,ITA,1988,30.94
Italy,ITA,1989,31.3
Italy,ITA,1990,31.37
Italy,ITA,1991,31.3
Italy,ITA,1992,31.55
Italy,ITA,1993,32.19
Italy,ITA,1994,32.6
Italy,ITA,1995,33.36
Italy,ITA,1996,33.78
Italy,ITA,1997,34.17
Italy,ITA,1998,34.83
Italy,ITA,1999,34.79
Italy,ITA,2000,35.62
Italy,ITA,2001,36.15
Italy,ITA,2002,35.48
Italy,ITA,2003,35.55
Italy,ITA,2004,35.81
Italy,ITA,2005,35.03
Italy,ITA,2006,35.21
Italy,ITA,2007,35.43
Italy,ITA,2008,33.79
Italy,ITA,2009,33.78
Italy,ITA,2010,34.64
Italy,ITA,2011,35.18
Italy,ITA,2012,36.12
Italy,ITA,2013,36.13
Italy,ITA,2014,35.75
Italy,ITA,2022,37.31
Italy,ITA,2023,37.28
Jamaica,JAM,2022,51.81
Jamaica,JAM,2023,51.81
Japan,JPN,1981,34.72
Japan,JPN,1982,36.67
Japan,JPN,1983,35.87
Japan,JPN,1984,35.83
Japan,JPN,1985,36.56
Japan,JPN,1986,38.27
Japan,JPN,1987,39.81
Japan,JPN,1988,39.24
Japan,JPN,1989,42.32
Japan,JPN,1990,41.11
Japan,JPN,1991,39.57
Japan,JPN,1992,35.82
Japan,JPN,1993,36.08
Japan,JPN,1994,36.58
Japan,JPN,1995,38.13
Japan,JPN,1996,38.7
Japan,JPN,1997,40.65
Japan,JPN,1998,38.27
Japan,JPN,1999,39.13
Japan,JPN,2000,41.02
Japan,JPN,2001,41.87
Japan,JPN,2002,44.89
Japan,JPN,2003,43.37
Japan,JPN,2004,44.06
Japan,JPN,2005,44.6
Japan,JPN,2006,45.19
Japan,JPN,2007,46.52
Japan,JPN,2008,46.06
Japan,JPN,2009,42.69
Japan,JPN,2010,43.63
Japan,JPN,2011,43.2
Japan,JPN,2012,43.28
Japan,JPN,2013,44.14
Japan,JPN,2014,43.76
Japan,JPN,2015,45.11
Japan,JPN,2016,43.41
Japan,JPN,2017,46.18
Japan,JPN,2018,44.34
Japan,JPN,2019,43.41
Japan,JPN,2020,43.6
Japan,JPN,2021,43.94
Japan,JPN,2022,44.07
Japan,JPN,2023,43.53
Jersey,JEY,1980,32.22
Jersey,JEY,1981,32.22
Jersey,JEY,1982,32.18
Jersey,JEY,1983,32.3
Jersey,JEY,1984,32.66
Jersey,JEY,1985,32.87
Jersey,JEY,1986,32.52
Jersey,JEY,1987,32.5
Jersey,JEY,1988,32.44
Jersey,JEY,1989,32.6
Jersey,JEY,1990,32.5
Jersey,JEY,1991,32.3
Jersey,JEY,1992,33.2
Jersey,JEY,1993,33.45
Jersey,JEY,1994,34.17
Jersey,JEY,1995,33.86
Jersey,JEY,1996,34.03
Jersey,JEY,1997,34.81
Jersey,JEY,1998,34.95
Jersey,JEY,1999,34.99
Jersey,JEY,2000,35.57
Jersey,JEY,2001,35.11
Jersey,JEY,2002,34.61
Jersey,JEY,2003,34.76
Jersey,JEY,2004,35.04
Jersey,JEY,2005,35.28
Jersey,JEY,2006,35.98
Jersey,JEY,2007,36.07
Jersey,JEY,2008,34.24
Jersey,JEY,2009,33.48
Jersey,JEY,2010,35.14
Jersey,JEY,2011,35.06
Jersey,JEY,2012,34.4
Jersey,JEY,2013,34.63
Jersey,JEY,2014,35.09
Jersey,JEY,2015,34.99
Jersey,JEY,2016,35.13
Jersey,JEY,2017,35.28
Jersey,JEY,2018,35.25
Jersey,JEY,2019,35.02
Jersey,JEY,2020,34.86
Jersey,JEY,2021,35.53
Jersey,JEY,2022,35.67
Jersey,JEY,2023,35.67
Jordan,JOR,1986,48.19
Jordan,JOR,1992,53.69
Jordan,JOR,2002,49.79
Jordan,JOR,2006,51.16
Jordan,JOR,2008,51.78
Jordan,JOR,2010,52.66
Jordan,JOR,2013,50.05
Jordan,JOR,2022,50.19
Jordan,JOR,2023,50.05
Kazakhstan,KAZ,1993,34.89
Kazakhstan,KAZ,1996,40.83
Kazakhstan,KAZ,2001,43.74
Kazakhstan,KAZ,2002,44.45
Kazakhstan,KAZ,2003,43.08
Kazakhstan,KAZ,2004,40.07
Kazakhstan,KAZ,2005,44.27
Kazakhstan,KAZ,2006,42.66
Kazakhstan,KAZ,2007,41.44
Kazakhstan,KAZ,2008,40.77
Kazakhstan,KAZ,2009,41.36
Kazakhstan,KAZ,2010,41.16
Kazakhstan,KAZ,2011,38.92
Kazakhstan,KAZ,2012,39.8
Kazakhstan,KAZ,2013,39.22
Kazakhstan,KAZ,2014,39.27
Kazakhstan,KAZ,2015,36.56
Kazakhstan,KAZ,2016,39.87
Kazakhstan,KAZ,2017,40.39
Kazakhstan,KAZ,2022,41.22
Kazakhstan,KAZ,2023,40.95
Kenya,KEN,1992,51.06
Kenya,KEN,1994,50.73
Kenya,KEN,1997,53.95
Kenya,KEN,2005,54.74
Kenya,KEN,2015,48.15
Kenya,KEN,2022,48.83
Kenya,KEN,2023,48.83
Kiribati,KIR,1980,35.17
Kiribati,KIR,1981,35.26
Kiribati,KIR,1982,35.35
Kiribati,KIR,1983,35.45
Kiribati,KIR,1984,35.54
Kiribati,KIR,1985,35.64
Kiribati,KIR,1986,35.74
Kiribati,KIR,1987,35.84
Kiribati,KIR,1988,35.95
Kiribati,KIR,1989,36.05
Kiribati,KIR,1990,36.16
Kiribati,KIR,1991,36.47
Kiribati,KIR,1992,36.78
Kiribati,KIR,1993,37.07
Kiribati,KIR,1994,37.35
Kiribati,KIR,1995,37.63
Kiribati,KIR,1996,37.89
Kiribati,KIR,1997,38.15
Kiribati,KIR,1998,38.4
Kiribati,KIR,1999,38.64
Kiribati,KIR,2000,38.88
Kiribati,KIR,2001,39.76
Kiribati,KIR,2002,40.61
Kiribati,KIR,2003,41.45
Kiribati,KIR,2004,42.27
Kiribati,KIR,2005,43.07
Kiribati,KIR,2006,43.85
Kiribati,KIR,2007,44.62
Kiribati,KIR,2008,45.36
Kiribati,KIR,2009,46.09
Kiribati,KIR,2010,46.81
Kiribati,KIR,2011,47.01
Kiribati,KIR,2012,47.19
Kiribati,KIR,2013,47.37
Kiribati,KIR,2014,47.54
Kiribati,KIR,2015,47.7
Kiribati,KIR,2016,47.86
Kiribati,KIR,2017,48
Kiribati,KIR,2018,48.15
Kiribati,KIR,2019,48.28
Kiribati,KIR,2020,48.41
Kiribati,KIR,2021,48.41
Kiribati,KIR,2022,48.41
Kiribati,KIR,2023,48.41
Kosovo,OWID_KOS,2004,33
Kosovo,OWID_KOS,2005,33.36
Kosovo,OWID_KOS,2006,32.9
Kosovo,OWID_KOS,2007,32.46
Kosovo,OWID_KOS,2008,33.69
Kosovo,OWID_KOS,2009,33.4
Kosovo,OWID_KOS,2010,34.38
Kosovo,OWID_KOS,2011,32.8
Kosovo,OWID_KOS,2012,32.76
Kosovo,OWID_KOS,2013,32.48
Kosovo,OWID_KOS,2014,32.87
Kosovo,OWID_KOS,2015,32.97
Kosovo,OWID_KOS,2016,33.02
Kosovo,OWID_KOS,2022,32.73
Kosovo,OWID_KOS,2023,32.7
Kuwait,KWT,2007,54.03
Kuwait,KWT,2012,53.33
Kuwait,KWT,2022,44.4
Kuwait,KWT,2023,44.06
Kyrgyzstan,KGZ,1998,43.12
Kyrgyzstan,KGZ,1999,39.51
Kyrgyzstan,KGZ,2000,37.54
Kyrgyzstan,KGZ,2001,37.41
Kyrgyzstan,KGZ,2002,37.4
Kyrgyzstan,KGZ,2003,36.61
Kyrgyzstan,KGZ,2004,42.38
Kyrgyzstan,KGZ,2005,41.81
Kyrgyzstan,KGZ,2006,45.03
Kyrgyzstan,KGZ,2007,40.34
Kyrgyzstan,KGZ,2008,40.17
Kyrgyzstan,KGZ,2009,39.96
Kyrgyzstan,KGZ,2010,39.65
Kyrgyzstan,KGZ,2011,37.92
Kyrgyzstan,KGZ,2012,37.22
Kyrgyzstan,KGZ,2013,37.38
Kyrgyzstan,KGZ,2014,36.09
Kyrgyzstan,KGZ,2015,38.93
Kyrgyzstan,KGZ,2016,37.03
Kyrgyzstan,KGZ,2017,38.37
Kyrgyzstan,KGZ,2018,38.88
Kyrgyzstan,KGZ,2022,42.49
Kyrgyzstan,KGZ,2023,42.81
Laos,LAO,1992,46.34
Laos,LAO,1997,47.91
Laos,LAO,2002,45.5
Laos,LAO,2007,48.19
Laos,LAO,2012,45.08
Laos,LAO,2018,48.06
Laos,LAO,2022,48.63
Laos,LAO,2023,48.72
Latin America (WID),,1820,54.05
Latin America (WID),,1850,54.25
Latin America (WID),,1880,54.52
Latin America (WID),,1900,55.31
Latin America (WID),,1910,56.62
Latin America (WID),,1920,56.26
Latin America (WID),,1930,56.94
Latin America (WID),,1940,57.94
Latin America (WID),,1950,56.61
Latin America (WID),,1960,54.46
Latin America (WID),,1970,55.58
Latin America (WID),,1980,58.29
Latin America (WID),,1981,58.79
Latin America (WID),,1982,58.53
Latin America (WID),,1983,58.71
Latin America (WID),,1984,58.72
Latin America (WID),,1985,58.5
Latin America (WID),,1986,58.35
Latin America (WID),,1987,58.37
Latin America (WID),,1988,58.35
Latin America (WID),,1989,58.5
Latin America (WID),,1990,58.6
Latin America (WID),,1991,58.64
Latin America (WID),,1992,58.75
Latin America (WID),,1993,58.6
Latin America (WID),,1994,58.65
Latin America (WID),,1995,57.94
Latin America (WID),,1996,58.08
Latin America (WID),,1997,58.23
Latin America (WID),,1998,58.37
Latin America (WID),,1999,58.53
Latin America (WID),,2000,58.79
Latin America (WID),,2001,59.33
Latin America (WID),,2002,59.59
Latin America (WID),,2003,59.21
Latin America (WID),,2004,58.97
Latin America (WID),,2005,59.45
Latin America (WID),,2006,59.35
Latin America (WID),,2007,59.68
Latin America (WID),,2008,59.87
Latin America (WID),,2009,58.66
Latin America (WID),,2010,58.99
Latin America (WID),,2011,59
Latin America (WID),,2012,58.52
Latin America (WID),,2013,58.19
Latin America (WID),,2014,57.8
Latin America (WID),,2015,58.27
Latin America (WID),,2016,58.13
Latin America (WID),,2017,58.27
Latin America (WID),,2018,58.99
Latin America (WID),,2019,58.23
Latin America (WID),,2020,59.58
Latin America (WID),,2021,58.42
Latin America (WID),,2022,57.44
Latin America (WID),,2023,57.34
Latvia,LVA,1988,30.36
Latvia,LVA,1994,34.86
Latvia,LVA,1995,37.43
Latvia,LVA,1996,36.22
Latvia,LVA,1997,37.85
Latvia,LVA,1998,36.82
Latvia,LVA,1999,37.27
Latvia,LVA,2000,37.19
Latvia,LVA,2001,36.42
Latvia,LVA,2002,37.5
Latvia,LVA,2003,38.9
Latvia,LVA,2004,37.84
Latvia,LVA,2005,39.66
Latvia,LVA,2006,35.24
Latvia,LVA,2007,37.84
Latvia,LVA,2008,37.01
Latvia,LVA,2009,37.95
Latvia,LVA,2010,36.14
Latvia,LVA,2011,36.95
Latvia,LVA,2012,37.4
Latvia,LVA,2013,37.45
Latvia,LVA,2014,36.5
Latvia,LVA,2015,35.48
Latvia,LVA,2016,33.85
Latvia,LVA,2017,35.32
Latvia,LVA,2018,34.72
Latvia,LVA,2022,34.94
Latvia,LVA,2023,34.91
Lebanon,LBN,2006,51.57
Lebanon,LBN,2007,55.55
Lebanon,LBN,2008,56.98
Lebanon,LBN,2009,54.2
Lebanon,LBN,2010,55.61
Lebanon,LBN,2011,57.19
Lebanon,LBN,2012,56.24
Lebanon,LBN,2013,56.21
Lebanon,LBN,2022,60.36
Lebanon,LBN,2023,55.11
Lesotho,LSO,1986,62.01
Lesotho,LSO,1993,63.93
Lesotho,LSO,1994,64.32
Lesotho,LSO,2002,55
Lesotho,LSO,2010,51.84
Lesotho,LSO,2017,49.11
Lesotho,LSO,2022,49.11
Lesotho,LSO,2023,49.11
Liberia,LBR,2007,44.15
Liberia,LBR,2014,41.22
Liberia,LBR,2016,42.59
Liberia,LBR,2022,42.59
Liberia,LBR,2023,42.59
Libya,LBY,2022,46.42
Libya,LBY,2023,46.59
Liechtenstein,LIE,1980,32.22
Liechtenstein,LIE,1981,32.22
Liechtenstein,LIE,1982,32.18
Liechtenstein,LIE,1983,32.3
Liechtenstein,LIE,1984,32.66
Liechtenstein,LIE,1985,32.87
Liechtenstein,LIE,1986,32.52
Liechtenstein,LIE,1987,32.5
Liechtenstein,LIE,1988,32.44
Liechtenstein,LIE,1989,32.6
Liechtenstein,LIE,1990,32.5
Liechtenstein,LIE,1991,32.3
Liechtenstein,LIE,1992,33.2
Liechtenstein,LIE,1993,33.45
Liechtenstein,LIE,1994,34.17
Liechtenstein,LIE,1995,33.86
Liechtenstein,LIE,1996,34.03
Liechtenstein,LIE,1997,34.81
Liechtenstein,LIE,1998,34.95
Liechtenstein,LIE,1999,34.99
Liechtenstein,LIE,2000,35.57
Liechtenstein,LIE,2001,35.11
Liechtenstein,LIE,2002,34.61
Liechtenstein,LIE,2003,34.76
Liechtenstein,LIE,2004,35.04
Liechtenstein,LIE,2005,35.28
Liechtenstein,LIE,2006,35.98
Liechtenstein,LIE,2007,36.07
Liechtenstein,LIE,2008,34.24
Liechtenstein,LIE,2009,33.48
Liechtenstein,LIE,2010,35.14
Liechtenstein,LIE,2011,35.06
Liechtenstein,LIE,2012,34.4
Liechtenstein,LIE,2013,34.63
Liechtenstein,LIE,2014,35.09
Liechtenstein,LIE,2015,34.99
Liechtenstein,LIE,2016,35.13
Liechtenstein,LIE,2017,35.28
Liechtenstein,LIE,2018,35.25
Liechtenstein,LIE,2019,35.02
Liechtenstein,LIE,2020,34.86
Liechtenstein,LIE,2021,35.53
Liechtenstein,LIE,2022,35.67
Liechtenstein,LIE,2023,35.67
Lithuania,LTU,1988,24.57
Lithuania,LTU,1994,34.98
Lithuania,LTU,1995,34.94
Lithuania,LTU,1996,35.51
Lithuania,LTU,1997,35.05
Lithuania,LTU,1998,34.55
Lithuania,LTU,1999,34.29
Lithuania,LTU,2000,34.15
Lithuania,LTU,2001,34.71
Lithuania,LTU,2002,34.95
Lithuania,LTU,2003,35.35
Lithuania,LTU,2004,35.1
Lithuania,LTU,2005,35.46
Lithuania,LTU,2006,33.14
Lithuania,LTU,2007,36.4
Lithuania,LTU,2008,36.85
Lithuania,LTU,2009,37.2
Lithuania,LTU,2010,34.66
Lithuania,LTU,2011,34.61
Lithuania,LTU,2012,37.05
Lithuania,LTU,2013,37.58
Lithuania,LTU,2014,40.75
Lithuania,LTU,2015,36.78
Lithuania,LTU,2016,36.43
Lithuania,LTU,2017,37.73
Lithuania,LTU,2022,34.42
Lithuania,LTU,2023,34.42
Luxembourg,LUX,1985,35.2
Luxembourg,LUX,1991,36.23
Luxembourg,LUX,1994,36.17
Luxembourg,LUX,1997,37.63
Luxembourg,LUX,2000,40.25
Luxembourg,LUX,2004,41.65
Luxembourg,LUX,2005,42.22
Luxembourg,LUX,2006,40.36
Luxembourg,LUX,2007,42.96
Luxembourg,LUX,2008,41.6
Luxembourg,LUX,2009,36.73
Luxembourg,LUX,2010,36.73
Luxembourg,LUX,2011,35.99
Luxembourg,LUX,2012,38.9
Luxembourg,LUX,2013,36.55
Luxembourg,LUX,2014,37.5
Luxembourg,LUX,2015,33.62
Luxembourg,LUX,2016,34.91
Luxembourg,LUX,2017,38.06
Luxembourg,LUX,2022,36.2
Luxembourg,LUX,2023,36.43
MENA (WID),,1820,55.15
MENA (WID),,1850,55.84
MENA (WID),,1880,57.05
MENA (WID),,1900,58.63
MENA (WID),,1910,62.12
MENA (WID),,1920,63.03
MENA (WID),,1930,62.5
MENA (WID),,1940,61.93
MENA (WID),,1950,56.53
MENA (WID),,1960,60.2
MENA (WID),,1970,65.68
MENA (WID),,1980,71.56
MENA (WID),,1981,70.4
MENA (WID),,1982,65.38
MENA (WID),,1983,66.22
MENA (WID),,1984,62.5
MENA (WID),,1985,63.3
MENA (WID),,1986,62.74
MENA (WID),,1987,62.18
MENA (WID),,1988,63.25
MENA (WID),,1989,61.87
MENA (WID),,1990,61.52
MENA (WID),,1991,63.9
MENA (WID),,1992,63.36
MENA (WID),,1993,61.08
MENA (WID),,1994,61.19
MENA (WID),,1995,60.84
MENA (WID),,1996,60.13
MENA (WID),,1997,60.46
MENA (WID),,1998,60.29
MENA (WID),,1999,60.28
MENA (WID),,2000,60.41
MENA (WID),,2001,59.76
MENA (WID),,2002,59.22
MENA (WID),,2003,59.56
MENA (WID),,2004,59.18
MENA (WID),,2005,58.96
MENA (WID),,2006,58.71
MENA (WID),,2007,57.96
MENA (WID),,2008,57.45
MENA (WID),,2009,56.95
MENA (WID),,2010,56.63
MENA (WID),,2011,57.04
MENA (WID),,2012,57.49
MENA (WID),,2013,57.34
MENA (WID),,2014,57.17
MENA (WID),,2015,57.42
MENA (WID),,2016,57.63
MENA (WID),,2017,56.74
MENA (WID),,2018,57.42
MENA (WID),,2019,56.69
MENA (WID),,2020,56.59
MENA (WID),,2021,57.06
MENA (WID),,2022,56.87
MENA (WID),,2023,56.72
Macao,MAC,2022,43.12
Macao,MAC,2023,42.27
Madagascar,MDG,1980,54.9
Madagascar,MDG,1997,46.44
Madagascar,MDG,1999,44.48
Madagascar,MDG,2001,53.36
Madagascar,MDG,2005,49.93
Madagascar,MDG,2010,51.91
Madagascar,MDG,2012,50.26
Madagascar,MDG,2022,50.26
